,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
7760,-118.14,33.91,34.0,2011.0,472.0,1087.0,423.0,3.0465,<1H OCEAN,187800.0
3328,-122.72,38.88,29.0,2781.0,,890.0,310.0,1.9906,INLAND,96600.0
9874,-121.83,36.62,33.0,2938.0,576.0,1516.0,568.0,3.5,<1H OCEAN,162400.0
3906,-118.5,34.19,35.0,2720.0,490.0,1158.0,445.0,5.0796,<1H OCEAN,228300.0
4306,-118.31,34.09,36.0,2517.0,842.0,2446.0,689.0,2.1524,<1H OCEAN,187500.0
2506,-120.45,36.85,20.0,1519.0,376.0,1681.0,370.0,2.1759,INLAND,58100.0
16051,-122.48,37.76,52.0,2684.0,574.0,1395.0,549.0,3.9097,NEAR BAY,323800.0
10952,-117.87,33.75,12.0,2782.0,1077.0,1968.0,795.0,0.971,<1H OCEAN,102500.0
1933,-120.99,38.69,5.0,5743.0,1074.0,2651.0,962.0,4.1163,INLAND,172500.0
18535,-122.01,36.97,52.0,920.0,202.0,525.0,264.0,2.9444,NEAR OCEAN,232800.0
12255,-117.02,33.76,20.0,1317.0,203.0,453.0,158.0,2.8393,INLAND,120700.0
5962,-117.84,34.12,34.0,2026.0,345.0,1142.0,332.0,4.3919999999999995,INLAND,187600.0
11557,-117.98,33.73,22.0,4232.0,624.0,2408.0,660.0,6.6539,<1H OCEAN,284900.0
19653,-120.85,37.49,39.0,2840.0,733.0,2606.0,737.0,1.9429,INLAND,76400.0
15556,-117.07,33.12,21.0,4578.0,927.0,2818.0,900.0,3.1458,<1H OCEAN,187700.0
19455,-120.95,37.66,16.0,4478.0,647.0,1990.0,672.0,5.1473,INLAND,188400.0
18527,-122.04,36.97,49.0,792.0,136.0,331.0,137.0,5.2128,NEAR OCEAN,238600.0
1276,-121.6,37.91,13.0,2479.0,394.0,1075.0,350.0,5.1017,INLAND,241400.0
1844,-122.28,37.91,38.0,2501.0,348.0,805.0,329.0,6.5576,NEAR BAY,358500.0
18507,-122.01,36.99,29.0,227.0,45.0,112.0,41.0,6.4469,NEAR OCEAN,271400.0
6675,-118.12,34.16,52.0,2218.0,437.0,1211.0,422.0,5.0237,<1H OCEAN,241900.0
18666,-121.94,36.99,11.0,4571.0,924.0,2004.0,847.0,4.2898,NEAR OCEAN,221700.0
10153,-117.9,33.9,18.0,3821.0,576.0,1430.0,568.0,6.9399,<1H OCEAN,349600.0
713,-122.09,37.67,48.0,1252.0,305.0,673.0,308.0,2.3357,NEAR BAY,175000.0
8888,-118.49,34.03,31.0,4949.0,1293.0,1985.0,1244.0,4.252,<1H OCEAN,436700.0
3990,-118.66,34.19,23.0,7544.0,1031.0,3221.0,1043.0,7.642,<1H OCEAN,374900.0
1823,-122.3,37.93,34.0,2254.0,357.0,715.0,306.0,4.5,NEAR BAY,304000.0
16838,-122.48,37.57,34.0,4648.0,806.0,2282.0,814.0,4.5556,NEAR OCEAN,249000.0
5897,-118.32,34.16,46.0,2345.0,453.0,1031.0,427.0,4.3173,<1H OCEAN,278300.0
15593,-116.26,33.07,17.0,934.0,284.0,452.0,184.0,1.9875,INLAND,83700.0
13522,-117.41,34.23,17.0,889.0,131.0,439.0,141.0,6.1426,INLAND,155000.0
7054,-118.02,33.92,35.0,2075.0,424.0,1312.0,396.0,3.7969,<1H OCEAN,164800.0
9798,-121.91,36.55,39.0,5468.0,834.0,1782.0,712.0,5.7248,NEAR OCEAN,398800.0
15156,-117.04,32.98,16.0,1332.0,196.0,640.0,193.0,6.0226,<1H OCEAN,192900.0
18673,-121.88,36.96,18.0,4910.0,817.0,1971.0,773.0,5.8325,NEAR OCEAN,308800.0
217,-122.21,37.79,47.0,1543.0,307.0,859.0,292.0,2.9583,NEAR BAY,138800.0
13599,-117.25,34.16,31.0,1516.0,238.0,596.0,255.0,4.3362,INLAND,159400.0
2734,-115.56,32.78,34.0,2856.0,555.0,1627.0,522.0,3.2083,INLAND,76200.0
3537,-118.52,34.26,21.0,8850.0,2139.0,4717.0,1979.0,3.7816,<1H OCEAN,254200.0
7699,-118.12,33.96,36.0,1426.0,235.0,698.0,240.0,4.8523,<1H OCEAN,267300.0
8795,-118.44,33.79,27.0,2141.0,260.0,635.0,240.0,11.6648,NEAR OCEAN,500001.0
7184,-118.17,34.04,44.0,691.0,155.0,613.0,142.0,1.9667,<1H OCEAN,133900.0
15009,-117.02,32.75,33.0,3296.0,537.0,1345.0,556.0,5.2835,<1H OCEAN,217100.0
4825,-118.31,34.04,29.0,2038.0,578.0,2070.0,570.0,2.0658,<1H OCEAN,214600.0
14382,-117.25,32.74,40.0,2186.0,549.0,953.0,515.0,2.8007,NEAR OCEAN,257100.0
16893,-122.38,37.58,52.0,1704.0,226.0,671.0,243.0,8.4704,NEAR OCEAN,500001.0
3572,-118.51,34.24,31.0,5297.0,664.0,1986.0,657.0,8.6454,<1H OCEAN,483500.0
15927,-122.42,37.73,46.0,1819.0,411.0,1534.0,406.0,4.0132,NEAR BAY,229400.0
20466,-118.75,34.27,24.0,3241.0,461.0,1567.0,446.0,5.5983,<1H OCEAN,233300.0
20586,-122.03,38.69,23.0,1796.0,380.0,939.0,330.0,2.7955,INLAND,96300.0
7921,-118.08,33.86,26.0,778.0,173.0,539.0,186.0,3.2679,<1H OCEAN,236500.0
7800,-118.09,33.9,37.0,1147.0,258.0,742.0,242.0,4.0461,<1H OCEAN,153500.0
530,-122.26,37.78,52.0,970.0,217.0,528.0,208.0,3.3438,NEAR BAY,201300.0
4897,-118.25,34.01,31.0,1301.0,403.0,1952.0,377.0,2.1466,<1H OCEAN,100800.0
9141,-118.13,34.44,10.0,2726.0,465.0,1773.0,459.0,4.8295,INLAND,319100.0
16001,-122.45,37.75,36.0,2303.0,381.0,862.0,371.0,6.0274,NEAR BAY,349000.0
4264,-118.31,34.1,40.0,4984.0,2158.0,4828.0,2028.0,1.6903,<1H OCEAN,350000.0
8033,-118.14,33.84,43.0,2107.0,439.0,876.0,429.0,3.2024,<1H OCEAN,339400.0
17475,-119.89,34.44,25.0,3160.0,507.0,1514.0,523.0,5.0767,NEAR OCEAN,271200.0
15984,-122.47,37.76,49.0,2842.0,670.0,1396.0,648.0,3.2679,NEAR BAY,345700.0
7455,-118.16,33.92,44.0,1368.0,277.0,899.0,271.0,3.5938,<1H OCEAN,161300.0
1916,-121.04,38.81,11.0,3522.0,623.0,1456.0,544.0,3.93,INLAND,163400.0
13925,-114.59,34.83,41.0,812.0,,375.0,158.0,1.7083,INLAND,48500.0
16033,-122.45,37.72,51.0,2690.0,554.0,1795.0,539.0,3.6581,NEAR BAY,225000.0
20523,-121.55,38.51,22.0,2403.0,431.0,1088.0,421.0,3.9,INLAND,146900.0
17757,-121.8,37.35,27.0,2358.0,415.0,1562.0,383.0,5.2297,<1H OCEAN,192800.0
20141,-119.06,34.36,52.0,1409.0,359.0,981.0,304.0,2.7951,<1H OCEAN,199300.0
13262,-117.65,34.1,19.0,1688.0,365.0,622.0,322.0,3.6,INLAND,136400.0
18076,-122.03,37.28,29.0,3752.0,468.0,1320.0,471.0,9.8937,<1H OCEAN,500001.0
16241,-121.29,37.99,30.0,1271.0,528.0,2019.0,524.0,1.5152,INLAND,81300.0
20200,-119.19,34.25,12.0,232.0,37.0,79.0,35.0,4.1667,NEAR OCEAN,214600.0
13805,-117.03,34.91,27.0,2718.0,583.0,1472.0,509.0,2.825,INLAND,76600.0
8484,-118.3,33.92,34.0,2053.0,382.0,1258.0,380.0,3.0139,<1H OCEAN,154700.0
12078,-117.52,33.84,20.0,688.0,146.0,575.0,144.0,3.55,INLAND,111000.0
1069,-121.86,39.74,13.0,3494.0,843.0,1571.0,784.0,1.1019,INLAND,120200.0
1759,-122.33,37.94,47.0,1882.0,361.0,797.0,342.0,3.5848,NEAR BAY,140800.0
19348,-122.85,38.62,16.0,4418.0,704.0,1908.0,697.0,4.5913,<1H OCEAN,244600.0
15094,-116.95,32.82,12.0,5535.0,1434.0,3112.0,1262.0,2.5949,<1H OCEAN,108300.0
12602,-121.47,38.54,36.0,2099.0,510.0,1845.0,483.0,1.4138,INLAND,52500.0
20283,-119.18,34.18,31.0,2636.0,638.0,2695.0,614.0,3.2196,NEAR OCEAN,175800.0
12353,-116.54,33.81,24.0,6087.0,1217.0,1721.0,833.0,3.1493,INLAND,199400.0
14017,-117.16,32.75,49.0,1566.0,494.0,643.0,419.0,1.9637,NEAR OCEAN,137500.0
9160,-118.49,34.43,15.0,8244.0,1409.0,4453.0,1357.0,5.4829,<1H OCEAN,199600.0
18386,-121.83,37.21,14.0,2714.0,361.0,1259.0,375.0,7.7738,<1H OCEAN,387500.0
4301,-118.29,34.09,39.0,336.0,173.0,586.0,151.0,1.8056,<1H OCEAN,262500.0
8003,-118.14,33.86,36.0,1703.0,325.0,845.0,308.0,5.0106,<1H OCEAN,210800.0
8848,-118.39,34.08,52.0,3759.0,464.0,1407.0,422.0,15.0001,<1H OCEAN,500001.0
3057,-119.33,35.59,20.0,3085.0,691.0,2645.0,676.0,1.7868,INLAND,54100.0
3935,-118.57,34.21,23.0,4891.0,793.0,2447.0,765.0,5.8798,<1H OCEAN,270500.0
11711,-120.18,39.17,18.0,1703.0,360.0,354.0,163.0,3.6563,INLAND,146900.0
8955,-118.39,34.02,45.0,1577.0,421.0,1042.0,375.0,3.4375,<1H OCEAN,314500.0
18003,-121.99,37.27,27.0,2937.0,497.0,1454.0,511.0,5.4051,<1H OCEAN,273500.0
5186,-118.26,33.93,35.0,1562.0,403.0,1587.0,406.0,1.4917,<1H OCEAN,93200.0
16076,-122.48,37.74,52.0,2166.0,423.0,1072.0,370.0,4.131,NEAR OCEAN,314300.0
16622,-120.85,35.37,21.0,1033.0,195.0,588.0,187.0,2.8173,NEAR OCEAN,226900.0
1533,-122.05,37.9,32.0,2676.0,484.0,986.0,473.0,4.6528,NEAR BAY,335700.0
10228,-117.93,33.87,45.0,1006.0,230.0,1237.0,237.0,3.3472,<1H OCEAN,168000.0
8327,-118.3,33.94,36.0,2041.0,531.0,1390.0,464.0,2.0114,<1H OCEAN,99300.0
14677,-117.11,32.84,16.0,4608.0,629.0,2020.0,636.0,6.04,<1H OCEAN,243000.0
6079,-117.85,34.09,16.0,4556.0,639.0,2066.0,651.0,6.4667,<1H OCEAN,263900.0
10595,-117.79,33.68,16.0,1998.0,308.0,818.0,299.0,6.8722,<1H OCEAN,326100.0
544,-122.26,37.77,52.0,1670.0,350.0,793.0,299.0,2.9732,NEAR BAY,282100.0
10970,-117.86,33.77,39.0,4159.0,655.0,1669.0,651.0,4.6111,<1H OCEAN,240300.0
5934,-117.84,34.13,26.0,3773.0,694.0,2103.0,688.0,4.6937,INLAND,198000.0
10609,-117.79,33.68,13.0,2636.0,416.0,1137.0,404.0,7.2118,<1H OCEAN,311500.0
6917,-118.01,33.95,35.0,1755.0,322.0,774.0,290.0,5.0861,<1H OCEAN,296700.0
3008,-119.01,35.28,10.0,7011.0,1453.0,4163.0,1307.0,2.7659,INLAND,77500.0
13073,-121.33,38.57,17.0,1621.0,350.0,706.0,338.0,2.3684,INLAND,150000.0
15237,-117.26,32.95,22.0,5484.0,1227.0,1947.0,1012.0,4.4375,NEAR OCEAN,500001.0
2128,-119.72,36.8,16.0,2396.0,526.0,1338.0,518.0,2.1653,INLAND,78800.0
15093,-116.95,32.82,19.0,5308.0,1058.0,2852.0,1092.0,2.9161,<1H OCEAN,135700.0
19647,-120.84,37.47,11.0,2285.0,499.0,1468.0,471.0,2.7857,INLAND,110300.0
20294,-119.19,34.17,27.0,2183.0,364.0,1458.0,388.0,4.4567,NEAR OCEAN,191100.0
7092,-118.02,33.92,34.0,1478.0,251.0,956.0,277.0,5.5238,<1H OCEAN,185300.0
2671,-115.73,33.09,27.0,452.0,103.0,258.0,61.0,2.9,INLAND,87500.0
18898,-122.25,38.11,49.0,2365.0,504.0,1131.0,458.0,2.6133,NEAR BAY,103100.0
4486,-118.2,34.05,8.0,762.0,204.0,728.0,174.0,2.4886,<1H OCEAN,137500.0
4226,-118.29,34.1,39.0,2196.0,582.0,1165.0,538.0,2.9417,<1H OCEAN,254200.0
11222,-117.9,33.8,27.0,2176.0,442.0,1440.0,418.0,4.375,<1H OCEAN,212500.0
538,-122.28,37.78,29.0,5154.0,,3741.0,1273.0,2.5762,NEAR BAY,173400.0
8497,-118.31,33.9,38.0,1400.0,399.0,1131.0,405.0,3.5417,<1H OCEAN,198400.0
11538,-118.01,33.75,30.0,3380.0,722.0,2269.0,652.0,4.525,<1H OCEAN,186000.0
3705,-118.39,34.19,41.0,2000.0,485.0,1439.0,461.0,3.0491,<1H OCEAN,192000.0
11289,-117.94,33.79,24.0,4179.0,784.0,1902.0,733.0,4.7986,<1H OCEAN,236500.0
3160,-118.92,35.13,29.0,1297.0,262.0,909.0,253.0,1.9236,INLAND,106300.0
16474,-121.25,38.14,16.0,1174.0,242.0,464.0,261.0,2.3,INLAND,133300.0
19753,-122.21,40.2,19.0,3404.0,731.0,1421.0,683.0,2.6149,INLAND,84400.0
6249,-117.98,34.05,33.0,1560.0,315.0,1467.0,313.0,4.1429,<1H OCEAN,159800.0
7403,-118.23,33.95,27.0,504.0,142.0,789.0,167.0,0.9518,<1H OCEAN,91400.0
17961,-121.98,37.31,28.0,3840.0,629.0,1883.0,662.0,6.4095,<1H OCEAN,335900.0
19239,-122.63,38.5,19.0,2107.0,332.0,874.0,341.0,5.7819,<1H OCEAN,265600.0
10676,-117.76,33.54,28.0,2250.0,329.0,826.0,323.0,6.9257,<1H OCEAN,466400.0
17646,-121.91,37.26,32.0,3776.0,620.0,1790.0,612.0,5.4675,<1H OCEAN,261100.0
735,-122.15,37.67,35.0,2472.0,398.0,1171.0,390.0,5.5797,NEAR BAY,198100.0
11550,-117.98,33.75,24.0,3865.0,802.0,2670.0,772.0,3.8158,<1H OCEAN,180000.0
17172,-122.26,37.38,28.0,1103.0,164.0,415.0,154.0,7.8633,NEAR OCEAN,500001.0
13833,-117.25,34.53,13.0,5841.0,955.0,2455.0,915.0,4.1333,INLAND,158200.0
2696,-115.37,32.82,14.0,1276.0,270.0,867.0,261.0,1.9375,INLAND,80900.0
13582,-117.29,34.12,40.0,2198.0,612.0,1517.0,531.0,1.0951,INLAND,65800.0
13268,-117.66,34.09,26.0,1151.0,200.0,593.0,188.0,3.6667,INLAND,166300.0
7277,-118.25,33.99,41.0,1486.0,509.0,2312.0,541.0,1.3963,<1H OCEAN,92900.0
901,-121.97,37.53,26.0,2506.0,387.0,1273.0,406.0,5.4299,<1H OCEAN,236400.0
15568,-117.04,33.09,16.0,4677.0,581.0,1902.0,566.0,6.1834,<1H OCEAN,335600.0
3314,-122.79,39.02,23.0,642.0,203.0,265.0,84.0,1.8833,INLAND,96900.0
2975,-119.08,35.32,8.0,11609.0,2141.0,5696.0,2100.0,5.0012,INLAND,106300.0
14890,-117.09,32.61,21.0,1945.0,430.0,1335.0,419.0,3.6467,NEAR OCEAN,113000.0
18417,-121.84,37.27,16.0,2429.0,387.0,1293.0,363.0,5.5,<1H OCEAN,253200.0
13669,-117.25,34.08,30.0,2981.0,605.0,1784.0,573.0,2.45,INLAND,85800.0
6790,-118.15,34.1,36.0,3514.0,818.0,2277.0,828.0,3.1211,<1H OCEAN,229300.0
8096,-118.21,33.81,45.0,1693.0,337.0,1255.0,333.0,3.6923,NEAR OCEAN,159700.0
1261,-121.72,38.0,7.0,7957.0,1314.0,4460.0,1293.0,4.9618,INLAND,156500.0
15277,-117.34,33.06,17.0,2718.0,518.0,815.0,403.0,4.3182,NEAR OCEAN,357100.0
3745,-118.4,34.16,34.0,2638.0,580.0,1150.0,551.0,4.2989,<1H OCEAN,364700.0
1283,-121.82,38.02,46.0,176.0,43.0,101.0,40.0,2.2361,INLAND,93800.0
18912,-122.24,38.15,10.0,6817.0,1188.0,4163.0,1135.0,4.4529,NEAR BAY,144100.0
13086,-121.34,38.58,17.0,1605.0,258.0,748.0,262.0,5.0917,INLAND,134100.0
10991,-117.81,33.73,19.0,4022.0,975.0,2334.0,954.0,3.0305,<1H OCEAN,140600.0
395,-122.34,37.88,37.0,3061.0,930.0,2556.0,924.0,1.7375,NEAR BAY,350000.0
20291,-119.19,34.17,35.0,4276.0,767.0,3295.0,708.0,4.2583,NEAR OCEAN,187300.0
11868,-121.09,40.3,15.0,1717.0,336.0,501.0,206.0,3.6477,INLAND,113400.0
1347,-121.92,38.01,7.0,1632.0,248.0,879.0,262.0,6.1237,INLAND,166000.0
11704,-117.97,33.89,14.0,923.0,136.0,420.0,130.0,10.2252,<1H OCEAN,462800.0
3852,-118.44,34.17,25.0,4966.0,1134.0,1941.0,958.0,3.8081,<1H OCEAN,286700.0
5172,-118.28,33.95,41.0,835.0,208.0,707.0,192.0,1.4103,<1H OCEAN,86200.0
17083,-122.2,37.47,37.0,1053.0,266.0,939.0,267.0,3.1989,NEAR BAY,320800.0
11343,-117.93,33.76,21.0,2884.0,662.0,2613.0,645.0,4.05,<1H OCEAN,177900.0
17453,-120.47,34.71,21.0,2535.0,383.0,1012.0,368.0,5.6177,NEAR OCEAN,183800.0
15397,-117.2,33.24,12.0,4992.0,,2106.0,801.0,6.2079,<1H OCEAN,307300.0
6496,-118.0,34.08,23.0,1627.0,318.0,1279.0,289.0,4.6467,INLAND,185100.0
14358,-117.22,32.74,52.0,1283.0,173.0,436.0,190.0,7.4029,NEAR OCEAN,345700.0
7227,-118.16,34.01,37.0,690.0,261.0,952.0,255.0,1.6354,<1H OCEAN,158900.0
18313,-122.13,37.43,32.0,4398.0,878.0,1799.0,792.0,4.7375,NEAR BAY,431900.0
5492,-118.46,33.97,18.0,9430.0,2473.0,3408.0,2003.0,6.1726,<1H OCEAN,500001.0
5441,-118.44,34.0,44.0,1798.0,353.0,835.0,314.0,4.75,<1H OCEAN,355800.0
2962,-119.05,35.34,14.0,3580.0,984.0,1933.0,912.0,2.6637,INLAND,175000.0
4016,-118.59,34.15,29.0,2023.0,330.0,747.0,304.0,6.7694,<1H OCEAN,369700.0
10572,-117.68,33.65,6.0,10395.0,1915.0,4783.0,1811.0,5.928,<1H OCEAN,239900.0
7815,-118.11,33.89,35.0,1139.0,197.0,772.0,233.0,4.375,<1H OCEAN,204700.0
6718,-118.16,34.13,36.0,4003.0,647.0,1337.0,631.0,7.723,<1H OCEAN,500001.0
14574,-117.22,32.82,22.0,3738.0,795.0,1476.0,728.0,3.7963,NEAR OCEAN,303100.0
13068,-121.3,38.58,19.0,2653.0,680.0,1419.0,579.0,2.3787,INLAND,91300.0
19053,-121.69,38.16,33.0,1808.0,363.0,824.0,340.0,3.2937,INLAND,96400.0
19552,-120.99,37.63,21.0,319.0,120.0,276.0,85.0,2.4792,INLAND,60000.0
13225,-117.69,34.03,20.0,6374.0,1412.0,3690.0,1350.0,3.4184,INLAND,162500.0
10385,-117.65,33.6,15.0,5736.0,,2529.0,762.0,6.4114,<1H OCEAN,278700.0
17379,-120.41,34.96,16.0,2299.0,403.0,1245.0,395.0,4.2125,<1H OCEAN,148300.0
5228,-118.24,33.94,37.0,869.0,241.0,1040.0,233.0,2.0,<1H OCEAN,84200.0
18346,-122.15,37.43,20.0,11709.0,,7604.0,3589.0,1.9045,NEAR BAY,375000.0
14076,-117.12,32.76,17.0,1559.0,462.0,821.0,428.0,2.0139,NEAR OCEAN,150000.0
3625,-118.43,34.24,35.0,1416.0,261.0,995.0,272.0,3.7143,<1H OCEAN,178700.0
3010,-118.99,35.27,32.0,444.0,102.0,242.0,87.0,1.1528,INLAND,150000.0
10459,-117.63,33.5,12.0,3619.0,536.0,1506.0,492.0,7.2013,<1H OCEAN,353600.0
18027,-121.93,37.25,32.0,1555.0,287.0,779.0,284.0,6.0358,<1H OCEAN,260100.0
3017,-119.4,35.06,21.0,2213.0,458.0,1250.0,440.0,2.9187,INLAND,52100.0
12200,-117.21,33.61,7.0,7722.0,1324.0,2975.0,1161.0,3.6273,<1H OCEAN,150900.0
15784,-122.41,37.78,52.0,1014.0,422.0,1055.0,382.0,1.8519,NEAR BAY,32500.0
4341,-118.3,34.08,34.0,1562.0,651.0,1774.0,559.0,1.5685,<1H OCEAN,225000.0
18448,-121.81,37.23,16.0,1674.0,281.0,850.0,254.0,5.3157,<1H OCEAN,253300.0
10017,-121.21,39.24,7.0,4194.0,673.0,1355.0,566.0,4.3702,INLAND,226100.0
11499,-118.05,33.72,14.0,2673.0,687.0,1192.0,656.0,4.1862,<1H OCEAN,188900.0
8793,-118.39,33.79,30.0,4402.0,563.0,1582.0,551.0,10.898,NEAR OCEAN,500001.0
5232,-118.24,33.94,42.0,380.0,106.0,411.0,100.0,0.9705,<1H OCEAN,90000.0
7938,-118.11,33.86,33.0,2389.0,410.0,1229.0,393.0,5.3889,<1H OCEAN,234900.0
18372,-121.9,37.24,24.0,7521.0,1364.0,3970.0,1318.0,4.4004,<1H OCEAN,255800.0
7002,-118.04,33.97,34.0,1759.0,431.0,1282.0,391.0,3.0491,<1H OCEAN,158200.0
9227,-120.05,36.95,18.0,2287.0,534.0,1339.0,505.0,2.2527,INLAND,65200.0
3586,-118.53,34.23,32.0,4039.0,984.0,2675.0,941.0,3.0321,<1H OCEAN,240000.0
16004,-122.46,37.75,52.0,1849.0,287.0,695.0,258.0,6.5372,NEAR BAY,394000.0
13245,-117.65,34.12,17.0,3006.0,427.0,1291.0,406.0,6.2083,INLAND,242700.0
13316,-117.62,34.07,16.0,6009.0,1599.0,5110.0,1389.0,2.5677,INLAND,128900.0
11800,-121.29,38.9,45.0,2019.0,394.0,1104.0,407.0,3.1691,INLAND,108700.0
961,-121.91,37.68,20.0,1804.0,254.0,831.0,260.0,6.1770000000000005,<1H OCEAN,262900.0
14992,-117.03,32.72,38.0,886.0,176.0,505.0,188.0,3.5938,NEAR OCEAN,125400.0
16637,-120.8,35.33,20.0,2200.0,393.0,996.0,365.0,3.5869999999999997,NEAR OCEAN,330000.0
2368,-119.56,36.71,37.0,1609.0,374.0,1173.0,344.0,2.181,INLAND,59900.0
9520,-123.2,39.14,17.0,1620.0,396.0,878.0,399.0,1.8042,<1H OCEAN,109200.0
2921,-119.02,35.36,48.0,1833.0,396.0,947.0,363.0,2.2827,INLAND,70000.0
2130,-119.71,36.8,17.0,2056.0,366.0,1259.0,367.0,3.9338,INLAND,84700.0
14308,-117.13,32.71,37.0,1220.0,325.0,1472.0,323.0,1.825,NEAR OCEAN,81500.0
4563,-118.26,34.06,40.0,637.0,273.0,1150.0,263.0,1.8625,<1H OCEAN,131300.0
17392,-120.45,34.96,21.0,2121.0,445.0,2211.0,463.0,4.0603,<1H OCEAN,117600.0
10614,-117.8,33.67,5.0,2487.0,388.0,1147.0,397.0,8.283999999999999,<1H OCEAN,302500.0
15330,-117.32,33.23,24.0,2580.0,604.0,982.0,569.0,1.6402,NEAR OCEAN,169300.0
17701,-121.82,37.29,16.0,2085.0,394.0,1705.0,391.0,5.0225,<1H OCEAN,222800.0
6377,-118.02,34.15,44.0,2267.0,426.0,980.0,372.0,3.6,INLAND,307400.0
5938,-117.9,34.14,29.0,2240.0,457.0,1187.0,407.0,3.8365,<1H OCEAN,184200.0
574,-122.27,37.77,23.0,5679.0,1270.0,2690.0,1151.0,4.7695,NEAR BAY,291700.0
20439,-118.8,34.27,12.0,3330.0,600.0,1577.0,584.0,4.6985,<1H OCEAN,264100.0
7357,-118.17,33.96,25.0,3297.0,1066.0,5027.0,1041.0,2.2817,<1H OCEAN,164200.0
16145,-122.47,37.78,52.0,2169.0,522.0,1220.0,505.0,3.1989,NEAR BAY,446900.0
9785,-121.32,35.95,31.0,372.0,68.0,479.0,67.0,3.5547,NEAR OCEAN,200000.0
12896,-121.34,38.64,12.0,2772.0,578.0,1335.0,565.0,3.8068,INLAND,161000.0
1244,-121.99,39.15,17.0,6440.0,1204.0,3266.0,1142.0,2.7137,INLAND,72000.0
3671,-118.41,34.21,35.0,2830.0,518.0,1577.0,524.0,5.35,<1H OCEAN,210500.0
8614,-118.38,33.87,21.0,4151.0,1018.0,2054.0,925.0,4.9821,<1H OCEAN,292900.0
16471,-121.25,38.13,25.0,1305.0,270.0,789.0,235.0,3.2993,INLAND,91100.0
4853,-118.3,34.03,37.0,2781.0,766.0,2586.0,729.0,1.8564,<1H OCEAN,187500.0
4056,-118.44,34.15,44.0,1778.0,251.0,641.0,251.0,10.0549,<1H OCEAN,500001.0
13326,-117.66,34.05,36.0,2341.0,520.0,2138.0,523.0,2.3347,INLAND,104000.0
17209,-119.72,34.43,33.0,1028.0,377.0,753.0,356.0,2.3454,<1H OCEAN,243800.0
11667,-118.01,33.85,29.0,3061.0,612.0,2396.0,640.0,4.6326,<1H OCEAN,195200.0
18145,-122.04,37.34,28.0,3081.0,460.0,1260.0,461.0,7.5372,<1H OCEAN,432600.0
20100,-120.23,37.96,52.0,1230.0,262.0,609.0,243.0,2.0057,INLAND,68200.0
14094,-117.1,32.75,17.0,871.0,379.0,955.0,351.0,1.4375,NEAR OCEAN,96400.0
11163,-118.0,33.83,24.0,2578.0,580.0,1217.0,529.0,2.2401,<1H OCEAN,212500.0
15719,-122.44,37.78,39.0,1181.0,310.0,901.0,281.0,1.4866,NEAR BAY,237500.0
2503,-120.46,36.87,20.0,1287.0,310.0,954.0,269.0,1.3386,INLAND,63000.0
8225,-118.2,33.78,46.0,1889.0,651.0,1545.0,587.0,1.7064,NEAR OCEAN,175000.0
5988,-117.72,34.1,32.0,3241.0,895.0,1592.0,810.0,2.4952,INLAND,181800.0
10626,-117.77,33.71,13.0,1939.0,247.0,928.0,244.0,8.1111,<1H OCEAN,379800.0
8557,-118.4,33.93,35.0,2217.0,447.0,1000.0,450.0,4.7319,<1H OCEAN,376100.0
9249,-120.08,36.97,13.0,3356.0,589.0,1458.0,601.0,3.8257,INLAND,94200.0
16026,-122.44,37.73,52.0,2838.0,567.0,1411.0,526.0,3.8304,NEAR BAY,261400.0
12807,-121.45,38.61,34.0,438.0,116.0,263.0,100.0,0.9379,INLAND,67500.0
1466,-121.98,37.96,12.0,5048.0,1122.0,2209.0,1014.0,3.1573,INLAND,126700.0
20325,-119.04,34.28,21.0,1856.0,276.0,863.0,255.0,4.5833,<1H OCEAN,500001.0
13355,-117.6,34.02,16.0,2103.0,348.0,1305.0,356.0,5.2849,INLAND,160400.0
6528,-118.05,34.06,25.0,1022.0,291.0,1570.0,297.0,3.023,<1H OCEAN,142000.0
994,-121.73,37.71,12.0,5608.0,1049.0,2595.0,1067.0,3.9864,INLAND,200200.0
18279,-122.08,37.35,35.0,1347.0,207.0,548.0,189.0,7.7068,NEAR BAY,500001.0
4597,-118.28,34.05,41.0,1075.0,597.0,2260.0,614.0,1.3,<1H OCEAN,162500.0
11115,-117.87,33.84,23.0,1678.0,369.0,912.0,347.0,4.5,<1H OCEAN,237300.0
17257,-119.7,34.41,52.0,1526.0,458.0,1633.0,449.0,2.2069,NEAR OCEAN,226500.0
3485,-118.55,34.28,16.0,8879.0,,3468.0,1200.0,8.1125,<1H OCEAN,428600.0
7027,-118.09,33.96,36.0,1116.0,229.0,719.0,233.0,3.425,<1H OCEAN,163200.0
528,-122.25,37.77,52.0,1527.0,320.0,825.0,264.0,3.4531,NEAR BAY,208800.0
5957,-117.87,34.13,29.0,1677.0,413.0,873.0,400.0,3.12,<1H OCEAN,194300.0
17671,-121.87,37.31,6.0,3797.0,984.0,2437.0,904.0,3.6802,<1H OCEAN,152400.0
10359,-117.66,33.58,16.0,3016.0,394.0,1172.0,382.0,7.5196,<1H OCEAN,315600.0
6353,-117.95,34.14,33.0,1943.0,440.0,1526.0,353.0,3.0380000000000003,INLAND,137500.0
13687,-117.22,34.15,9.0,2524.0,352.0,1139.0,362.0,6.2516,INLAND,159300.0
